Test: Collision: 0, Recovery: 0.007362, Smoothness: -0.645647, Status: success, Time: 16.305 , Reward: 149.245, Opt_time: 8.558 , Nav_Metric: 0.500 , World: world_0.world
Test: Collision: 2, Recovery: 0.302910, Smoothness: -2.670608, Status: collision, Time: 16.726 , Reward: -161.080, Opt_time: 8.431 , Nav_Metric: 0.000 , World: world_66.world
Test: Collision: 2, Recovery: 0.394708, Smoothness: -5.531272, Status: collision, Time: 19.950 , Reward: -161.573, Opt_time: 8.431 , Nav_Metric: 0.000 , World: world_66.world
Test: Collision: 2, Recovery: 0.252732, Smoothness: -4.192468, Status: collision, Time: 16.322 , Reward: -163.009, Opt_time: 8.431 , Nav_Metric: 0.000 , World: world_66.world
Test: Collision: 3, Recovery: 0.153524, Smoothness: -6.899377, Status: collision, Time: 31.768 , Reward: -159.422, Opt_time: 9.048 , Nav_Metric: 0.000 , World: world_72.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -8.725629, Status: success, Time: 33.402 , Reward: 154.547, Opt_time: 9.048 , Nav_Metric: 0.271 , World: world_72.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.376383, Status: success, Time: 14.307 , Reward: 148.235, Opt_time: 8.308 , Nav_Metric: 0.500 , World: world_78.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.353018, Status: success, Time: 14.199 , Reward: 136.521, Opt_time: 8.308 , Nav_Metric: 0.500 , World: world_78.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.434401, Status: success, Time: 14.671 , Reward: 147.520, Opt_time: 8.308 , Nav_Metric: 0.500 , World: world_78.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.069739, Status: success, Time: 18.738 , Reward: 158.468, Opt_time: 7.795 , Nav_Metric: 0.416 , World: world_84.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.030485, Status: success, Time: 16.425 , Reward: 148.975, Opt_time: 7.795 , Nav_Metric: 0.475 , World: world_84.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.972898, Status: success, Time: 17.920 , Reward: 150.112, Opt_time: 7.795 , Nav_Metric: 0.435 , World: world_84.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -3.262733, Status: success, Time: 20.420 , Reward: 147.253, Opt_time: 8.915 , Nav_Metric: 0.437 , World: world_90.world
Test: Collision: 2, Recovery: 0.259551, Smoothness: -1.576804, Status: collision, Time: 19.998 , Reward: -134.296, Opt_time: 8.915 , Nav_Metric: 0.000 , World: world_90.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.687052, Status: success, Time: 19.663 , Reward: 156.138, Opt_time: 8.915 , Nav_Metric: 0.453 , World: world_90.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.932529, Status: success, Time: 17.105 , Reward: 152.084, Opt_time: 8.234 , Nav_Metric: 0.481 , World: world_96.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.615621, Status: success, Time: 16.792 , Reward: 143.683, Opt_time: 8.234 , Nav_Metric: 0.490 , World: world_96.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.856573, Status: success, Time: 17.141 , Reward: 149.241, Opt_time: 8.234 , Nav_Metric: 0.480 , World: world_96.world
Test: Collision: 2, Recovery: 0.151741, Smoothness: -0.925918, Status: collision, Time: 17.764 , Reward: -145.221, Opt_time: 8.310 , Nav_Metric: 0.000 , World: world_102.world
Test: Collision: 2, Recovery: 0.233598, Smoothness: -4.714687, Status: collision, Time: 21.970 , Reward: -144.098, Opt_time: 8.310 , Nav_Metric: 0.000 , World: world_102.world
Test: Collision: 3, Recovery: 0.179724, Smoothness: -0.867627, Status: collision, Time: 18.847 , Reward: -144.883, Opt_time: 8.310 , Nav_Metric: 0.000 , World: world_102.world
Test: Collision: 2, Recovery: 0.291155, Smoothness: -1.847746, Status: collision, Time: 17.645 , Reward: -147.766, Opt_time: 7.840 , Nav_Metric: 0.000 , World: world_108.world
Test: Collision: 2, Recovery: 0.294188, Smoothness: -3.387997, Status: collision, Time: 18.535 , Reward: -149.122, Opt_time: 7.840 , Nav_Metric: 0.000 , World: world_108.world
Test: Collision: 2, Recovery: 0.130293, Smoothness: -4.371218, Status: collision, Time: 20.246 , Reward: -152.030, Opt_time: 7.840 , Nav_Metric: 0.000 , World: world_108.world
Test: Collision: 2, Recovery: 0.212676, Smoothness: -0.761937, Status: collision, Time: 15.763 , Reward: -133.217, Opt_time: 7.836 , Nav_Metric: 0.000 , World: world_114.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.913604, Status: success, Time: 14.886 , Reward: 144.907, Opt_time: 7.836 , Nav_Metric: 0.500 , World: world_114.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.035007, Status: success, Time: 14.870 , Reward: 143.402, Opt_time: 7.836 , Nav_Metric: 0.500 , World: world_114.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.439193, Status: success, Time: 14.650 , Reward: 144.773, Opt_time: 7.643 , Nav_Metric: 0.500 , World: world_120.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.305557, Status: success, Time: 13.752 , Reward: 143.858, Opt_time: 7.643 , Nav_Metric: 0.500 , World: world_120.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.420064, Status: success, Time: 14.442 , Reward: 149.035, Opt_time: 7.643 , Nav_Metric: 0.500 , World: world_120.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.615360, Status: success, Time: 14.887 , Reward: 157.892, Opt_time: 7.838 , Nav_Metric: 0.500 , World: world_126.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.514847, Status: success, Time: 14.215 , Reward: 145.802, Opt_time: 7.838 , Nav_Metric: 0.500 , World: world_126.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.740880, Status: success, Time: 14.671 , Reward: 148.464, Opt_time: 7.838 , Nav_Metric: 0.500 , World: world_126.world
Test: Collision: 2, Recovery: 0.102610, Smoothness: -15.232087, Status: collision, Time: 62.492 , Reward: -140.700, Opt_time: 9.489 , Nav_Metric: 0.000 , World: world_132.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.072774, Status: success, Time: 19.061 , Reward: 156.354, Opt_time: 9.489 , Nav_Metric: 0.498 , World: world_132.world
Test: Collision: 2, Recovery: 0.008658, Smoothness: -1.785956, Status: collision, Time: 15.844 , Reward: -146.956, Opt_time: 9.489 , Nav_Metric: 0.000 , World: world_132.world
Test: Collision: 2, Recovery: 0.330108, Smoothness: -3.970317, Status: collision, Time: 20.427 , Reward: -163.429, Opt_time: 8.663 , Nav_Metric: 0.000 , World: world_138.world
Test: Collision: 3, Recovery: 0.427305, Smoothness: -5.479310, Status: collision, Time: 24.448 , Reward: -165.480, Opt_time: 8.663 , Nav_Metric: 0.000 , World: world_138.world
Test: Collision: 2, Recovery: 0.164862, Smoothness: -1.333537, Status: collision, Time: 17.970 , Reward: -163.701, Opt_time: 8.663 , Nav_Metric: 0.000 , World: world_138.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.160418, Status: success, Time: 13.391 , Reward: 146.112, Opt_time: 8.468 , Nav_Metric: 0.500 , World: world_144.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.211671, Status: success, Time: 12.810 , Reward: 133.713, Opt_time: 8.468 , Nav_Metric: 0.500 , World: world_144.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.196574, Status: success, Time: 13.578 , Reward: 146.560, Opt_time: 8.468 , Nav_Metric: 0.500 , World: world_144.world
Test: Collision: 2, Recovery: 0.366925, Smoothness: -1.739199, Status: collision, Time: 16.773 , Reward: -167.392, Opt_time: 7.973 , Nav_Metric: 0.000 , World: world_150.world
Test: Collision: 2, Recovery: 0.345408, Smoothness: -1.629285, Status: collision, Time: 17.206 , Reward: -169.967, Opt_time: 7.973 , Nav_Metric: 0.000 , World: world_150.world
Test: Collision: 3, Recovery: 0.375465, Smoothness: -3.538251, Status: collision, Time: 17.713 , Reward: -169.908, Opt_time: 7.973 , Nav_Metric: 0.000 , World: world_150.world
Test: Collision: 2, Recovery: 0.004231, Smoothness: -2.342536, Status: collision, Time: 15.564 , Reward: -150.500, Opt_time: 8.134 , Nav_Metric: 0.000 , World: world_156.world
Test: Collision: 2, Recovery: 0.310021, Smoothness: -7.601332, Status: collision, Time: 21.406 , Reward: -150.961, Opt_time: 8.134 , Nav_Metric: 0.000 , World: world_156.world
Test: Collision: 2, Recovery: 0.214583, Smoothness: -2.079624, Status: collision, Time: 21.858 , Reward: -147.771, Opt_time: 8.134 , Nav_Metric: 0.000 , World: world_156.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.262081, Status: success, Time: 17.054 , Reward: 151.480, Opt_time: 7.959 , Nav_Metric: 0.467 , World: world_162.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.996721, Status: success, Time: 15.786 , Reward: 147.441, Opt_time: 7.959 , Nav_Metric: 0.500 , World: world_162.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.997731, Status: success, Time: 15.174 , Reward: 143.797, Opt_time: 7.959 , Nav_Metric: 0.500 , World: world_162.world
Test: Collision: 2, Recovery: 0.345782, Smoothness: -1.090580, Status: collision, Time: 16.078 , Reward: -157.320, Opt_time: 8.734 , Nav_Metric: 0.000 , World: world_168.world
Test: Collision: 2, Recovery: 0.258595, Smoothness: -0.744143, Status: collision, Time: 14.506 , Reward: -158.731, Opt_time: 8.734 , Nav_Metric: 0.000 , World: world_168.world
Test: Collision: 2, Recovery: 0.297134, Smoothness: -1.026858, Status: collision, Time: 14.458 , Reward: -159.099, Opt_time: 8.734 , Nav_Metric: 0.000 , World: world_168.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.474318, Status: success, Time: 15.817 , Reward: 154.470, Opt_time: 7.870 , Nav_Metric: 0.498 , World: world_174.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.420327, Status: success, Time: 15.175 , Reward: 148.688, Opt_time: 7.870 , Nav_Metric: 0.500 , World: world_174.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.265462, Status: success, Time: 14.276 , Reward: 132.728, Opt_time: 7.870 , Nav_Metric: 0.500 , World: world_174.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.630641, Status: success, Time: 19.491 , Reward: 157.543, Opt_time: 9.005 , Nav_Metric: 0.462 , World: world_180.world
Test: Collision: 2, Recovery: 0.213198, Smoothness: -4.436828, Status: collision, Time: 22.260 , Reward: -142.999, Opt_time: 9.005 , Nav_Metric: 0.000 , World: world_180.world
Test: Collision: 1, Recovery: 0.194010, Smoothness: -10.967020, Status: collision, Time: 32.698 , Reward: -137.496, Opt_time: 9.005 , Nav_Metric: 0.000 , World: world_180.world
Test: Collision: 3, Recovery: 0.084862, Smoothness: -2.201947, Status: collision, Time: 19.466 , Reward: -141.748, Opt_time: 8.336 , Nav_Metric: 0.000 , World: world_186.world
Test: Collision: 2, Recovery: 0.017281, Smoothness: -2.617283, Status: collision, Time: 19.320 , Reward: -148.725, Opt_time: 8.336 , Nav_Metric: 0.000 , World: world_186.world
Test: Collision: 2, Recovery: 0.195898, Smoothness: -2.605344, Status: collision, Time: 21.779 , Reward: -140.614, Opt_time: 8.336 , Nav_Metric: 0.000 , World: world_186.world
Test: Collision: 2, Recovery: 0.408663, Smoothness: -1.923246, Status: collision, Time: 11.647 , Reward: -170.181, Opt_time: 7.873 , Nav_Metric: 0.000 , World: world_192.world
Test: Collision: 2, Recovery: 0.383690, Smoothness: -1.636614, Status: collision, Time: 16.311 , Reward: -170.328, Opt_time: 7.873 , Nav_Metric: 0.000 , World: world_192.world
Test: Collision: 3, Recovery: 0.098062, Smoothness: -13.705249, Status: collision, Time: 37.415 , Reward: -151.836, Opt_time: 7.873 , Nav_Metric: 0.000 , World: world_192.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -3.531192, Status: success, Time: 21.406 , Reward: 156.676, Opt_time: 7.824 , Nav_Metric: 0.365 , World: world_198.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.616973, Status: success, Time: 19.529 , Reward: 144.990, Opt_time: 7.824 , Nav_Metric: 0.401 , World: world_198.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -3.096871, Status: success, Time: 20.251 , Reward: 147.129, Opt_time: 7.824 , Nav_Metric: 0.386 , World: world_198.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -4.120357, Status: success, Time: 21.568 , Reward: 152.262, Opt_time: 8.449 , Nav_Metric: 0.392 , World: world_204.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -4.293807, Status: success, Time: 21.238 , Reward: 137.265, Opt_time: 8.449 , Nav_Metric: 0.398 , World: world_204.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -3.615930, Status: success, Time: 19.239 , Reward: 137.062, Opt_time: 8.449 , Nav_Metric: 0.439 , World: world_204.world
Test: Collision: 1, Recovery: 0.166151, Smoothness: -3.550911, Status: collision, Time: 21.248 , Reward: -151.046, Opt_time: 8.956 , Nav_Metric: 0.000 , World: world_210.world
Test: Collision: 2, Recovery: 0.435083, Smoothness: -3.628713, Status: collision, Time: 15.800 , Reward: -173.118, Opt_time: 8.956 , Nav_Metric: 0.000 , World: world_210.world
Test: Collision: 2, Recovery: 0.253521, Smoothness: -0.360544, Status: collision, Time: 9.530 , Reward: -172.810, Opt_time: 8.956 , Nav_Metric: 0.000 , World: world_210.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.796244, Status: success, Time: 18.210 , Reward: 150.341, Opt_time: 8.231 , Nav_Metric: 0.452 , World: world_216.world
Test: Collision: 2, Recovery: 0.182152, Smoothness: -2.517197, Status: collision, Time: 17.992 , Reward: -171.918, Opt_time: 8.231 , Nav_Metric: 0.000 , World: world_216.world
Test: Collision: 2, Recovery: 0.030303, Smoothness: -5.012828, Status: collision, Time: 28.096 , Reward: -219.006, Opt_time: 8.231 , Nav_Metric: 0.000 , World: world_216.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.553854, Status: success, Time: 18.086 , Reward: 146.478, Opt_time: 8.205 , Nav_Metric: 0.454 , World: world_222.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.683489, Status: success, Time: 16.248 , Reward: 143.783, Opt_time: 8.205 , Nav_Metric: 0.500 , World: world_222.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.779918, Status: success, Time: 16.481 , Reward: 144.321, Opt_time: 8.205 , Nav_Metric: 0.498 , World: world_222.world
Test: Collision: 1, Recovery: 0.392808, Smoothness: -2.762723, Status: collision, Time: 15.662 , Reward: -161.577, Opt_time: 8.126 , Nav_Metric: 0.000 , World: world_228.world
Test: Collision: 2, Recovery: 0.013495, Smoothness: -1.778964, Status: collision, Time: 16.301 , Reward: -162.415, Opt_time: 8.126 , Nav_Metric: 0.000 , World: world_228.world
Test: Collision: 2, Recovery: 0.338694, Smoothness: -3.051671, Status: collision, Time: 21.699 , Reward: -162.697, Opt_time: 8.126 , Nav_Metric: 0.000 , World: world_228.world
Test: Collision: 2, Recovery: 0.157994, Smoothness: -10.111062, Status: collision, Time: 47.364 , Reward: -218.360, Opt_time: 8.113 , Nav_Metric: 0.000 , World: world_234.world
Test: Collision: 0, Recovery: 0.035209, Smoothness: -14.877065, Status: success, Time: 67.178 , Reward: 140.806, Opt_time: 8.113 , Nav_Metric: 0.125 , World: world_234.world
Test: Collision: 2, Recovery: 0.110170, Smoothness: -4.178140, Status: collision, Time: 26.457 , Reward: -134.601, Opt_time: 8.113 , Nav_Metric: 0.000 , World: world_234.world
Test: Collision: 2, Recovery: 0.146022, Smoothness: -1.985547, Status: collision, Time: 22.265 , Reward: -134.351, Opt_time: 8.268 , Nav_Metric: 0.000 , World: world_240.world
Test: Collision: 1, Recovery: 0.107235, Smoothness: -0.604123, Status: collision, Time: 17.108 , Reward: -139.559, Opt_time: 8.268 , Nav_Metric: 0.000 , World: world_240.world
Test: Collision: 2, Recovery: 0.126116, Smoothness: -0.849283, Status: collision, Time: 19.842 , Reward: -140.197, Opt_time: 8.268 , Nav_Metric: 0.000 , World: world_240.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.695727, Status: success, Time: 15.327 , Reward: 153.304, Opt_time: 7.972 , Nav_Metric: 0.500 , World: world_246.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.548715, Status: success, Time: 14.740 , Reward: 134.434, Opt_time: 7.972 , Nav_Metric: 0.500 , World: world_246.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.776349, Status: success, Time: 14.621 , Reward: 136.346, Opt_time: 7.972 , Nav_Metric: 0.500 , World: world_246.world
Test: Collision: 0, Recovery: 0.025761, Smoothness: -10.648209, Status: success, Time: 46.883 , Reward: 149.034, Opt_time: 8.178 , Nav_Metric: 0.174 , World: world_252.world
Test: Collision: 2, Recovery: 0.274074, Smoothness: -0.498815, Status: collision, Time: 11.713 , Reward: -178.010, Opt_time: 8.178 , Nav_Metric: 0.000 , World: world_252.world
Test: Collision: 2, Recovery: 0.097913, Smoothness: -1.637341, Status: collision, Time: 13.537 , Reward: -173.251, Opt_time: 8.178 , Nav_Metric: 0.000 , World: world_252.world
Test: Collision: 2, Recovery: 0.392046, Smoothness: -3.062381, Status: collision, Time: 23.449 , Reward: -147.800, Opt_time: 8.575 , Nav_Metric: 0.000 , World: world_258.world
Test: Collision: 2, Recovery: 0.136253, Smoothness: -2.467379, Status: collision, Time: 18.135 , Reward: -148.573, Opt_time: 8.575 , Nav_Metric: 0.000 , World: world_258.world
Test: Collision: 2, Recovery: 0.237714, Smoothness: -2.441880, Status: collision, Time: 18.919 , Reward: -148.076, Opt_time: 8.575 , Nav_Metric: 0.000 , World: world_258.world
Test: Collision: 2, Recovery: 0.343584, Smoothness: -1.796698, Status: collision, Time: 20.440 , Reward: -161.440, Opt_time: 7.691 , Nav_Metric: 0.000 , World: world_264.world
Test: Collision: 2, Recovery: 0.113465, Smoothness: -0.415383, Status: collision, Time: 14.418 , Reward: -166.451, Opt_time: 7.691 , Nav_Metric: 0.000 , World: world_264.world
Test: Collision: 2, Recovery: 0.071118, Smoothness: -1.224948, Status: collision, Time: 14.980 , Reward: -166.839, Opt_time: 7.691 , Nav_Metric: 0.000 , World: world_264.world
Test: Collision: 2, Recovery: 0.302192, Smoothness: -3.848075, Status: collision, Time: 19.144 , Reward: -177.452, Opt_time: 8.016 , Nav_Metric: 0.000 , World: world_270.world
Test: Collision: 2, Recovery: 0.353672, Smoothness: -5.776333, Status: collision, Time: 19.286 , Reward: -173.097, Opt_time: 8.016 , Nav_Metric: 0.000 , World: world_270.world
Test: Collision: 2, Recovery: 0.328090, Smoothness: -1.753365, Status: collision, Time: 19.364 , Reward: -174.867, Opt_time: 8.016 , Nav_Metric: 0.000 , World: world_270.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.974366, Status: success, Time: 14.888 , Reward: 143.316, Opt_time: 8.130 , Nav_Metric: 0.500 , World: world_276.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.318764, Status: success, Time: 14.538 , Reward: 130.272, Opt_time: 8.130 , Nav_Metric: 0.500 , World: world_276.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.825661, Status: success, Time: 14.188 , Reward: 135.479, Opt_time: 8.130 , Nav_Metric: 0.500 , World: world_276.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.344166, Status: success, Time: 15.058 , Reward: 152.509, Opt_time: 8.091 , Nav_Metric: 0.500 , World: world_282.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.365108, Status: success, Time: 13.705 , Reward: 136.242, Opt_time: 8.091 , Nav_Metric: 0.500 , World: world_282.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -0.399998, Status: success, Time: 13.882 , Reward: 133.456, Opt_time: 8.091 , Nav_Metric: 0.500 , World: world_282.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.794903, Status: success, Time: 18.961 , Reward: 148.262, Opt_time: 7.677 , Nav_Metric: 0.405 , World: world_288.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -2.091298, Status: success, Time: 19.419 , Reward: 146.798, Opt_time: 7.677 , Nav_Metric: 0.395 , World: world_288.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.850647, Status: success, Time: 19.199 , Reward: 145.916, Opt_time: 7.677 , Nav_Metric: 0.400 , World: world_288.world
Test: Collision: 1, Recovery: 0.262211, Smoothness: -2.003407, Status: collision, Time: 17.416 , Reward: -156.734, Opt_time: 8.261 , Nav_Metric: 0.000 , World: world_294.world
Test: Collision: 2, Recovery: 0.230216, Smoothness: -0.385398, Status: collision, Time: 15.394 , Reward: -164.227, Opt_time: 8.261 , Nav_Metric: 0.000 , World: world_294.world
Test: Collision: 2, Recovery: 0.184308, Smoothness: -4.742471, Status: collision, Time: 29.968 , Reward: -162.679, Opt_time: 8.261 , Nav_Metric: 0.000 , World: world_294.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.289437, Status: success, Time: 22.636 , Reward: 150.583, Opt_time: 8.591 , Nav_Metric: 0.380 , World: world_2.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.101916, Status: success, Time: 21.875 , Reward: 155.798, Opt_time: 8.591 , Nav_Metric: 0.393 , World: world_2.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.193903, Status: success, Time: 21.302 , Reward: 148.437, Opt_time: 8.591 , Nav_Metric: 0.403 , World: world_2.world
Test: Collision: 0, Recovery: 0.000000, Smoothness: -1.300636, Status: success, Time: 22.675 , Reward: 151.370, Opt_time: 8.591 , Nav_Metric: 0.379 , World: world_2.world
